Resultado final
Endossibionte 0 (127) : (20,35) (20,42) (17,42) (17,30) (5,30) (5,34) (18,34) (18,24) (1,24) (1,2) (2,26) (3,26) (3,4) (4,25) (25,28) (28,38) (9,38) (9,13) (13,15) (15,16) (16,45) (43,45) (22,43) (22,36) (36,40) (40,41) (14,41) (14,37) (23,37) (10,23) (10,11) (0,11) (0,33) (33,47) (47,48) (32,48) (6,32) (6,7) (7,21) (21,27) (27,39) (39,44) (19,44) (19,29) (8,29) (8,49) (46,49) (31,46) (12,31) (12,35) 
Endossibionte 11 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 12 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 13 (106) : (7,21) (9,21) (9,13) (13,15) (14,15) (14,41) (40,41) (34,40) (33,34) (4,33) (4,44) (39,44) (27,39) (27,49) (8,49) (8,29) (19,29) (17,19) (17,46) (31,46) (24,31) (18,24) (18,47) (47,48) (0,48) (0,6) (6,32) (12,32) (12,20) (11,20) (1,11) (1,35) (35,45) (16,45) (10,16) (3,10) (3,42) (42,43) (22,43) (22,36) (28,36) (25,28) (2,25) (2,26) (26,38) (23,38) (23,37) (30,37) (5,30) (5,7) 
Endossibionte 14 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 15 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 16 (129) : (4,33) (2,4) (2,26) (26,37) (23,37) (16,23) (16,45) (1,45) (1,24) (18,24) (18,47) (43,47) (3,43) (3,10) (10,11) (0,11) (0,6) (6,7) (7,32) (32,48) (13,48) (13,15) (15,25) (25,28) (28,38) (9,38) (9,21) (21,27) (27,39) (39,44) (19,44) (19,29) (8,29) (8,49) (46,49) (31,46) (12,31) (12,40) (36,40) (22,36) (14,22) (14,41) (35,41) (20,35) (20,42) (17,42) (17,30) (5,30) (5,34) (33,34) 
Endossibionte 17 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 18 (91) : (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) 
Endossibionte 19 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 20 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 21 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 22 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 23 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 24 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 25 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 26 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 27 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 28 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 29 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 30 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 31 (112) : (6,32) (6,7) (7,21) (21,27) (27,39) (39,44) (19,44) (19,29) (8,29) (8,49) (46,49) (31,46) (12,31) (12,40) (36,40) (22,36) (22,43) (3,43) (3,10) (10,45) (16,45) (15,16) (13,15) (9,13) (2,9) (2,26) (26,38) (28,38) (25,28) (23,25) (23,37) (4,37) (4,33) (33,47) (47,48) (0,48) (0,11) (1,11) (1,24) (18,24) (18,34) (5,34) (5,30) (17,30) (17,42) (20,42) (20,35) (35,41) (14,41) (14,32) 
Endossibionte 32 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 33 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 34 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 35 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 36 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 37 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 38 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 39 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 40 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 41 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 42 (122) : (24,46) (46,49) (8,49) (8,29) (19,29) (19,44) (4,44) (4,33) (0,33) (0,11) (1,11) (1,36) (22,36) (14,22) (14,41) (35,41) (20,35) (20,42) (17,42) (17,30) (5,30) (5,34) (18,34) (15,18) (13,15) (9,13) (9,45) (16,45) (10,16) (3,10) (3,43) (43,47) (47,48) (32,48) (6,32) (6,7) (7,21) (21,27) (27,39) (37,39) (23,37) (23,25) (25,28) (28,38) (26,38) (2,26) (2,40) (12,40) (12,31) (24,31) 
Endossibionte 43 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 44 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 45 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 46 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 47 (105) : (20,35) (12,20) (12,32) (6,32) (6,7) (7,21) (9,21) (9,13) (13,15) (15,49) (8,49) (8,29) (19,29) (19,44) (4,44) (4,33) (33,34) (5,34) (5,30) (30,37) (23,37) (23,25) (2,25) (1,2) (1,11) (0,11) (0,48) (47,48) (18,47) (18,24) (24,31) (31,46) (39,46) (27,39) (27,40) (40,41) (14,41) (14,22) (22,36) (28,36) (28,38) (26,38) (3,26) (3,10) (10,16) (16,17) (17,42) (42,43) (43,45) (35,45) 
Endossibionte 48 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 49 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
